City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,muli,MV,82.89,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
7,faanui,PF,79.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,lorengau,PG,85.21,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
14,rikitea,PF,75.15,clear sky,-23.1203,-134.9692,People ThankYou
17,sisophon,KH,86.61,overcast clouds,13.5859,102.9737,Pyramid Hotel
19,georgetown,MY,85.93,scattered clouds,5.4112,100.3354,Cititel Penang
24,chokurdakh,RU,81.16,overcast clouds,70.6333,147.9167, 
26,fare,PF,79.2,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
28,atuona,PF,77.9,clear sky,-9.8,-139.0333,Villa Enata
29,thinadhoo,MV,81.91,few clouds,0.5333,72.9333, 
31,cockburn town,TC,81.37,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
37,san pedro de macoris,DO,75.33,scattered clouds,18.4616,-69.2972,Apartahotel Guaraguao
40,caucaia,BR,76.95,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
51,avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
52,san ferdinando di puglia,IT,78.24,clear sky,41.3026,16.0705,Tenuta Sospiro
54,kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,awjilah,LY,76.53,clear sky,29.1081,21.2869,المنزل
59,bengkulu,ID,84.31,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
64,kahta,TR,83.64,clear sky,37.7855,38.6237,KommageneİZ Hotel
66,hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
71,hithadhoo,MV,82.02,broken clouds,-0.6,73.0833,Scoop Guest House
73,luba,GQ,76.37,moderate rain,3.4568,8.5547, 
77,butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
79,kamaishi,JP,80.01,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
81,morgan city,US,80.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
83,ormara,PK,85.77,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
85,santarem,BR,80.73,clear sky,-2.4431,-54.7083,Hotel Imperador
86,buchanan,LR,75.81,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
87,victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
89,katsuura,JP,75.78,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
91,ixtapa,MX,82.22,overcast clouds,20.7,-105.2,hotel la terminal
92,sakakah,SA,82.9,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
98,pemangkat,ID,84.29,overcast clouds,1.1667,108.9667,Ramah Kost KITA
109,nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
119,nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
120,miri,MY,86.95,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
121,meadow lake,US,75.9,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
122,luganville,VU,80.01,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
124,bud,US,84.18,broken clouds,39.447,-86.1758,Ted McQuinn Trust
128,galveston,US,84.06,overcast clouds,29.3669,-94.9669,Crystal Suites
129,tual,ID,79.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
131,banda aceh,ID,87.15,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
133,albemarle,US,77.74,clear sky,35.3501,-80.2001,"Holiday Inn Express & Suites Albemarle, an IHG Hotel"
134,morant bay,JM,79.72,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
135,merauke,ID,78.76,overcast clouds,-8.4667,140.3333, 
136,ramapuram,IN,81.72,overcast clouds,13.1167,79.2,Sri Annam Farms
137,heishan,CN,83.26,overcast clouds,41.6892,122.1128,Heishan Hotel
138,phuket,TH,84.42,light rain,8.0,98.25,The Surin
144,vermillion,US,81.72,clear sky,42.7794,-96.9292,"Holiday Inn Express & Suites Vermillion, an IHG Hotel"
145,itoman,JP,88.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
146,college,US,84.0,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
149,cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
151,doha,QA,89.58,broken clouds,25.2867,51.5333,Doha Marriott Hotel
158,yumen,CN,88.79,clear sky,40.2833,97.2, 
159,meulaboh,ID,78.87,overcast clouds,4.1363,96.1285,Kost Pria
160,amurzet,RU,83.35,broken clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
161,dalianwan,CN,82.44,scattered clouds,39.0286,121.695,Huanghai Hotel
162,limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
164,pandan,PH,84.02,overcast clouds,14.0453,124.1694,Bonifacio Lodge
169,cabo san lucas,MX,88.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,norman wells,CA,78.21,clear sky,65.282,-126.8329,Heritage Hotel
176,cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
179,muroto,JP,79.07,overcast clouds,33.2833,134.15,Oota Ryokan
183,garmsar,IR,76.73,clear sky,35.2182,52.3409,مجتمع مرصاد
188,zhanjiang,CN,88.36,overcast clouds,21.2815,110.3427,创业旅店
193,san patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
203,puerto carreno,CO,75.24,heavy intensity rain,6.189,-67.4859,Casa Hotel Victoria
204,shenjiamen,CN,81.41,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
208,hirara,JP,83.97,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
209,columbia,US,75.7,mist,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
211,bambanglipuro,ID,86.45,scattered clouds,-7.95,110.2833,Puri Brata
212,khamgaon,IN,75.61,heavy intensity rain,20.6833,76.5667,Gurukrupa Inn Hotel
215,kavieng,PG,84.02,light rain,-2.5744,150.7967,Nusa Island Retreat
222,vaitape,PF,79.0,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
223,nara,JP,79.92,light rain,34.6851,135.8049,Guesthouse Nara Komachi
224,kampong thum,KH,89.62,overcast clouds,12.7111,104.8887,Sambor Village Hotel
227,poya,NC,79.81,broken clouds,-21.35,165.15, 
234,srivardhan,IN,79.54,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
235,huilong,CN,86.94,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
236,gizo,SB,84.97,overcast clouds,-8.103,156.8419,Imagination Island
238,abu dhabi,AE,88.97,overcast clouds,24.4667,54.3667,Beach Rotana
241,biltine,TD,83.7,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
244,mulege,MX,85.75,clear sky,26.8833,-111.9833,Casa Granada
248,eyl,SO,79.54,scattered clouds,7.9803,49.8164,Amiin Hotel
251,berdigestyakh,RU,86.72,broken clouds,62.0989,126.6992, 
252,ugoofaaru,MV,83.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
253,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
261,naze,JP,81.09,scattered clouds,28.3667,129.4833,Shishime Hotel
265,berezovyy,RU,88.97,scattered clouds,51.6667,135.7,"Hotel ""Phoenix"""
269,padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
270,kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
275,benidorm,ES,78.31,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
276,ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
281,springfield,US,83.1,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
282,sinnamary,GF,76.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
287,muncar,ID,81.9,overcast clouds,-8.4333,114.3333,Zaky Homestay
290,alofi,NU,75.13,overcast clouds,-19.0595,-169.9187,Taloa Heights
296,auki,SB,85.12,scattered clouds,-8.7676,160.7034,Auki Motel
300,jiquilisco,SV,78.15,overcast clouds,13.3167,-88.5833,Canton.rokinte
301,les cayes,HT,78.13,few clouds,18.2,-73.75,Villa Orphee
304,ambulu,ID,84.74,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
313,shirgaon,IN,81.16,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
315,deputatskiy,RU,75.54,broken clouds,69.3,139.9,Baza Otdykha
321,kirakira,SB,83.32,broken clouds,-10.4544,161.9205,SanBiz Lodge
322,mogocha,RU,78.57,light rain,53.7333,119.7667,Yalta Inn
332,kieta,PG,85.15,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
334,martin,US,83.93,clear sky,27.0837,-80.4164, 
335,pokhara,NP,82.54,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
338,lashio,MM,78.28,heavy intensity rain,22.9333,97.75,Hotel CF Lashio - Burmese Only
339,fukue,JP,78.48,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
340,aden,YE,85.14,broken clouds,12.7794,45.0367,Sama Emirate Hotel
341,khash,IR,82.36,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
346,rock sound,BS,81.97,clear sky,24.9,-76.2,Pink Corral Bay Property
348,kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
353,chaohu,CN,85.21,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
356,arecibo,PR,79.97,overcast clouds,18.4724,-66.7157,Atlantic Sand Oasis
360,umm lajj,SA,85.5,scattered clouds,25.0213,37.2685,Moon light Furnished Units
364,zabaykalsk,RU,80.96,broken clouds,49.6333,117.3167,Zheleznyy Mir
365,dandong,CN,85.24,clear sky,40.1292,124.3947,Yiranju Farmstay
376,adrar,MR,89.78,clear sky,20.5022,-10.0711, 
377,vostok,RU,77.29,overcast clouds,46.4856,135.8833, 
380,acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
381,noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
384,temerloh,MY,84.51,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
392,rawah,IQ,86.09,clear sky,34.4816,41.9093,بيت سميع
393,nabire,ID,85.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
395,dingle,PH,83.03,light rain,10.9995,122.6711,SEGAYA PROPERTY
397,puerto el triunfo,SV,78.37,overcast clouds,13.2833,-88.55,Hotel Jardin
408,buala,SB,85.01,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
409,marawi,PH,77.95,overcast clouds,7.9986,124.2928,Derogongan Residence
411,hot springs,US,83.55,clear sky,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
415,bayan,CN,84.42,broken clouds,46.0833,127.4,Wanhao Inn
420,mangrol,IN,82.18,light rain,21.1167,70.1167,Hotel The Royal Honours
423,benghazi,LY,77.4,clear sky,32.1167,20.0667,Tibesti Hotel
427,porto velho,BR,77.05,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
432,linqing,CN,83.75,overcast clouds,36.8456,115.7117,Dongfang Hotel
433,tautira,PF,77.81,light rain,-17.7333,-149.15,Pension Oaoa
438,killin,US,82.09,clear sky,33.6123,-91.7412,US Forestry Department
442,jiuquan,CN,86.92,clear sky,39.7432,98.5174,Jiuquan Hotel
446,rabaul,PG,83.39,overcast clouds,-4.1967,152.1721,Rabaul Hotel
447,nampa,US,75.31,clear sky,43.5407,-116.5635,Nampa Downtown
452,xiuyan,CN,83.5,broken clouds,40.2928,123.2744,Helin Holiday Hotel
453,fort-shevchenko,KZ,75.15,few clouds,44.5086,50.263,Oasis hotel Bautino
454,laurinburg,US,78.87,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
455,bandarbeyla,SO,81.12,broken clouds,9.4942,50.8122,JABIR HOTEL
456,kismayo,SO,76.69,broken clouds,-0.3582,42.5454,Agan-Hotel
459,lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
462,aripuana,BR,75.61,broken clouds,-9.1667,-60.6333, 
468,north platte,US,76.89,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
470,jalu,LY,76.57,clear sky,29.0331,21.5482,صاحبة الفخامة
474,makaha,US,82.31,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
476,mayo,US,75.49,clear sky,38.8876,-76.5119,Resorts Resource Group International
477,tirumullaivasal,IN,86.05,overcast clouds,11.2333,79.8333, 
480,lakatoro,VU,80.91,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
481,pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
482,rapid valley,US,75.45,few clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
484,pasni,PK,85.69,overcast clouds,25.2631,63.471,Kashmiri Hotal
486,avera,US,76.55,broken clouds,33.194,-82.5271, 
487,rome,US,80.64,broken clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
488,boyolangu,ID,84.74,light rain,-8.1181,111.8935,Yos ega cv
490,isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
495,songjianghe,CN,85.03,broken clouds,42.1859,127.479,Sijisheng Fashion Guest House
503,shimanovsk,RU,88.25,clear sky,52.0,127.7,Гостиница Домашняя
505,sohag,EG,86.25,clear sky,26.557,31.6948,Civil Registry - Sohag 1
508,gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
511,hamilton,US,80.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
513,hope,US,87.85,few clouds,33.6671,-93.5916,Best Western Hope
516,wenling,CN,84.72,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
517,inuvik,CA,82.17,few clouds,68.3499,-133.7218,Nova Inn Inuvik
518,tura,IN,87.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
526,itaituba,BR,75.11,overcast clouds,-4.2761,-55.9836,Hotel Campos
527,yangjiang,CN,86.5,heavy intensity rain,21.85,111.9667,HUALUXE Yangjiang City Center
531,komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
534,raymondville,US,83.08,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
537,oum hadjer,TD,83.28,overcast clouds,13.2954,19.6966, 
538,kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
544,safaga,EG,87.37,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
545,dharchula,IN,78.94,overcast clouds,29.85,80.5333,Mahara Hotel
546,cookeville,US,79.59,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
547,pathein,MM,84.38,overcast clouds,16.7833,94.7333,Pathein Hotel
552,ciudad bolivar,VE,78.28,scattered clouds,8.1222,-63.5497,Hotel Edi
554,bonthe,SL,75.88,broken clouds,7.5264,-12.505,Bonthe Holiday Village
558,acajutla,SV,79.34,light rain,13.5928,-89.8275,Laureles
560,nagato,JP,79.74,overcast clouds,34.3833,131.2,いそう庵
561,beidao,CN,87.58,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
562,khuzdar,PK,81.41,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
565,berbera,SO,89.28,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
566,bay-khaak,RU,76.69,scattered clouds,51.1667,94.5, 
568,katobu,ID,84.52,broken clouds,-4.9408,122.5276,La Ode Husein
570,kolokani,ML,77.56,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
571,neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
572,puerto penasco,MX,83.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
578,danshui,CN,83.43,moderate rain,22.7984,114.4672,Grand Skylight International Hotel Huizhou
585,tupik,RU,79.45,overcast clouds,54.4253,119.9327,Guest House Orkhideya
588,zhuanghe,CN,79.61,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
592,santa marta,CO,78.85,few clouds,11.2408,-74.199,Hotel La Ballena Azul
595,voh,NC,81.97,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
603,le vauclin,MQ,82.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
606,gerash,IR,89.65,scattered clouds,27.6652,54.1371,Sa'adat House Gerash
607,camargo,MX,88.21,broken clouds,27.6667,-105.1667,Hotel Santa Fe
610,sola,VU,80.55,scattered clouds,-13.8833,167.55,Leumerus Bungalows
619,tayu,ID,86.07,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
625,lalmohan,BD,85.5,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
626,goure,NE,79.02,few clouds,13.9835,10.2704, 
629,srednekolymsk,RU,79.93,overcast clouds,67.45,153.6833, 
630,terra santa,BR,76.1,broken clouds,-2.1042,-56.4869,Hotel Sarah
633,licheng,CN,82.44,moderate rain,23.2955,113.8284,Xincheng Tourism Industry
636,ranong,TH,80.83,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
638,the valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
646,huanren,CN,86.97,scattered clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
649,tukrah,LY,75.02,clear sky,32.5341,20.5791,Lagrota restaurant
650,murgab,TM,82.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
656,riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
660,labuhan,ID,86.23,broken clouds,-6.8844,112.2051,DoubleFAG
661,brokopondo,SR,76.68,very heavy rain,4.75,-55.1667,Matu Island
665,nichinan,JP,83.43,overcast clouds,31.6,131.3667,Guest House Aki
668,port blair,IN,80.62,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
671,yerofey pavlovich,RU,88.93,broken clouds,53.9667,121.9667,lounges and warm parking
674,pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
676,galle,LK,79.66,overcast clouds,6.0367,80.217,Amangalla
678,nuevo progreso,MX,81.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
681,bosaso,SO,88.61,overcast clouds,11.2842,49.1816,Red Sea Hotel
684,san matias,BO,75.42,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
687,itupiranga,BR,75.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
689,clinton,US,82.06,overcast clouds,42.587,-82.9199,River's Edge
692,namatanai,PG,84.54,light rain,-3.6667,152.4333,Seagulls Inn Namatani
695,makakilo city,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
697,san pedro,PH,88.83,light rain,14.35,121.0167,Palines Apartment and Guesthouse
699,mogadishu,SO,76.64,light rain,2.0371,45.3438,Hotel Juba
